town,mar22,apr22,may22,jun22,jul22,aug22,sep22,oct22,nov22,dec22,jan23,feb23,may23,apr23,jul23,mar23,jun23,jan22,feb22
Kainuk,141.72,151.62,157.12,166.12,166.12,166.12,186.3,185.3,184.3,184.3,184.3,184.3,180.84,182.85,202.2,182.62,189.04,132.48,129.49
Lomut,147.75,157.65,163.15,172.15,172.15,172.15,192.35,191.35,190.35,190.35,190.35,190.35,181.5,,208.68,176.57,195.08,133.57,132.48
Sigor,,,,,,,,,,,,,179.97,183.47,,,,129.57,133.57
Mbita,,,,,,,,,,,,,,,,,,129.97,129.57
Kalokol,,,,,,,,,,,,,177.34,187.15,,,,130.46,129.97
Kapsabet,,,,,,,,,,,,,180.6,,,,,131.54,130.46
Eldama Ravine,,,,,,,,,,,,,,186.24,,,,130.13,131.54
Nakuru,,,,,,,,,,,,,180.27,,,,,130.13,130.13
Machakos,,,,,,,,,,,,,,188.74,,,,130.13,130.13
Kapcherop,,,,,,,,,,,,,186.24,,,,,130.13,130.13
Kilgoris,,,,,,,,,,,,,177.34,187.79,,,,130.13,130.13
Timboroa,,,,,,,,,,,,,182.95,,,,,130.14,130.13
Moyale,,,,,,,,,,,,,,186.16,,,,130.55,130.14
Tindiret,,,,,,,,,,,,,182.8,,,,,130.49,130.55
Naivasha,,,,,,,,,,,,,182.68,184.85,,,,131.12,130.49
Mombasa,,,,,,,,,,,,,186.46,,,,,130.9,131.12
Embu,,,,,,,,,,,,,184.37,188.42,,,,130.14,130.9
Nandi Hills,,,,,,,,,,,,,187.33,,,,,130.12,130.14
Nakalale,,,,,,,,,,,,,183.05,190.02,,,,130.08,130.12
Cheptulu,,,,,,,,,,,,,182.33,,,,,130.16,130.08
Wajir,,,,,,,,,,,,,178.88,188.57,,,,130.64,130.16
Kakuma,,,,,,,,,,,,,181.36,,,,,130.52,130.64
Chepareria,,,,,158.64,158.64,178.62,177.62,176.62,176.62,176.62,176.62,,186.3,193.77,168.77,181.18,130.44,130.52
Arror,134.24,144.14,149.64,158.64,158.61,158.61,178.58,177.58,176.58,176.58,176.58,176.58,178.05,,193.72,169.02,181.14,130.36,130.44
Molo,134.21,144.11,149.61,158.61,158.6,158.6,178.57,177.57,176.57,176.57,176.57,176.57,179.54,192.35,193.71,172.0,181.13,130.32,130.36
Bomet,134.2,144.1,149.6,158.6,158.69,158.69,178.65,177.65,176.65,176.65,176.65,176.65,,,193.8,,181.21,130.18,130.32
Taveta,134.29,144.19,149.69,158.69,159.39,159.39,179.36,178.36,177.36,177.36,177.36,177.36,,,194.56,169.1,181.92,130.67,130.18
